source_id,source_file,document_title,page_start,page_end,department,topic,sensitivity,review_required,public_answer_allowed,answer_policy,suggested_decision,reviewer_decision,reviewer_comment
official_alte_8_pdf_kb_01_01_program_catalog_p001_c001,01_program_catalog.pdf,Higher Education Program Catalog,1,1,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p002_c002,01_program_catalog.pdf,Higher Education Program Catalog,2,2,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p003_c003,01_program_catalog.pdf,Higher Education Program Catalog,3,3,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p004_c004,01_program_catalog.pdf,Higher Education Program Catalog,4,4,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p005_c005,01_program_catalog.pdf,Higher Education Program Catalog,5,5,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p006_c006,01_program_catalog.pdf,Higher Education Program Catalog,6,6,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p007_c007,01_program_catalog.pdf,Higher Education Program Catalog,7,7,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p008_c008,01_program_catalog.pdf,Higher Education Program Catalog,8,8,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p009_c009,01_program_catalog.pdf,Higher Education Program Catalog,9,9,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p010_c010,01_program_catalog.pdf,Higher Education Program Catalog,10,10,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p011_c011,01_program_catalog.pdf,Higher Education Program Catalog,11,11,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p012_c012,01_program_catalog.pdf,Higher Education Program Catalog,12,12,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p013_c013,01_program_catalog.pdf,Higher Education Program Catalog,13,13,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p014_c014,01_program_catalog.pdf,Higher Education Program Catalog,14,14,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p015_c015,01_program_catalog.pdf,Higher Education Program Catalog,15,15,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p016_c016,01_program_catalog.pdf,Higher Education Program Catalog,16,16,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p017_c017,01_program_catalog.pdf,Higher Education Program Catalog,17,17,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p018_c018,01_program_catalog.pdf,Higher Education Program Catalog,18,18,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p019_c019,01_program_catalog.pdf,Higher Education Program Catalog,19,19,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p020_c020,01_program_catalog.pdf,Higher Education Program Catalog,20,20,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p021_c021,01_program_catalog.pdf,Higher Education Program Catalog,21,21,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p022_c022,01_program_catalog.pdf,Higher Education Program Catalog,22,22,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p023_c023,01_program_catalog.pdf,Higher Education Program Catalog,23,23,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p024_c024,01_program_catalog.pdf,Higher Education Program Catalog,24,24,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p025_c025,01_program_catalog.pdf,Higher Education Program Catalog,25,25,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p026_c026,01_program_catalog.pdf,Higher Education Program Catalog,26,26,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p027_c027,01_program_catalog.pdf,Higher Education Program Catalog,27,27,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
official_alte_8_pdf_kb_01_01_program_catalog_p028_c028,01_program_catalog.pdf,Higher Education Program Catalog,28,28,programs,programs,low,False,True,direct,APPROVE_PUBLIC,,
